PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu,BuildingAge,AvgFloorArea,GFATotal_per_Building,PrimaryPropertyType_grouped,log_PropertyGFATotal,log_LargestPropertyUseTypeGFA,log_AvgFloorArea
28492,28492,2.0,1.0,1978,Small- and Mid-Sized Office,28492.0,98107.0,BALLARD,47.67528,-122.40836,12.0,3.6579046498145056,14.455415111210655,38,14246.0,28492.0,Small- and Mid-Sized Office,10.257413722053586,10.257413722053586,9.564301637217232
44588,22588,2.0,1.0,1946,Laboratory,69000.0,98101.0,DOWNTOWN,47.61597,-122.33086,67.0,3.942552210462969,15.796731313130689,70,22294.0,44588.0,Other,10.705242470817005,11.141876276228,10.012117717061576
147545,147545,2.0,1.0,1917,Retail Store,147545.0,98144.0,DOWNTOWN,47.59692,-122.31543,69.0,5.140200498450899,15.730530036806956,99,73772.5,147545.0,Retail Store,11.901895270549195,11.901895270549195,11.208754867513624
28072,28072,2.0,1.0,1917,Other,23835.0,98013.0,NORTHWEST,47.67713,-122.35398,67.0,4.166355098198372,14.1248494200433,99,14036.0,28072.0,Other,10.242563539313103,10.07895232186687,9.549451979534325
31020,31020,2.0,1.0,1955,Restaurant,31020.0,98121.0,DOWNTOWN,47.61468,-122.34925,67.0,5.340418542566672,15.41894005597386,61,15510.0,31020.0,Other,10.3424196734772,10.3424196734772,9.64930472862475
64630,64630,3.0,1.0,1942,Small- and Mid-Sized Office,64630.0,98121.0,DOWNTOWN,47.61683,-122.35176,96.0,2.381396273418336,14.15788844684215,74,21543.333333333332,64630.0,Small- and Mid-Sized Office,11.07644945082794,11.07644945082794,9.97786810658365
20920,20920,2.0,1.0,1948,Worship Facility,20920.0,98121.0,DOWNTOWN,47.61636,-122.35094,15.0,3.7656089869726097,13.856757582146624,68,10460.0,20920.0,Worship Facility,9.948508718183648,9.948508718183648,9.25540933534376
22128,22128,2.0,1.0,1926,Worship Facility,22128.0,98116.0,SOUTHWEST,47.57384,-122.41182,94.0,3.267284964075888,13.318523221073114,90,11064.0,22128.0,Worship Facility,10.004644244495866,10.004644244495866,9.31154225248515
48139,48139,1.0,1.0,1968,Retail Store,40000.0,98133.0,NORTHWEST,47.72736,-122.34579,98.0,3.219675505038765,13.66380079251352,48,48139.0,48139.0,Retail Store,10.781868711337063,10.596659732783579,10.781868711337063
28923,28923,2.0,1.0,1992,University,28800.0,98121.0,DOWNTOWN,47.61741,-122.33491,67.0,2.7893229212309465,12.99296720877201,24,14461.5,28923.0,University,10.272426979294842,10.268165387743457,9.579314371501932
