PropertyGFATotal,PropertyGFABuilding(s),NumberofFloors,NumberofBuildings,YearBuilt,PrimaryPropertyType,LargestPropertyUseTypeGFA,ZipCode,Neighborhood,Latitude,Longitude,ENERGYSTARScore,log_TotalGHGEmissions,log_SiteEnergyUse_kBtu
224857,224857,9.0,1.0,1971,Large Office,204993.0,98104.0,DOWNTOWN,47.6029,-122.32927,79.0,5.970419648512232,16.541563859688605
58492,58492,2.0,1.0,1939,Other,58500.0,98104.0,GREATER DUWAMISH,47.59273,-122.33455,67.0,3.961955374176355,14.282022786858906
141686,141686,1.0,1.0,1970,Other,152511.0,98108.0,GREATER DUWAMISH,47.56301,-122.32564,67.0,3.8611506750543896,15.713600921880097
115620,115620,1.0,1.0,1966,Warehouse,56900.0,98108.0,GREATER DUWAMISH,47.54923,-122.32446,11.0,2.681706225762608,14.484291913158087
71718,71718,1.0,1.0,1969,Distribution Center,71718.0,98108.0,GREATER DUWAMISH,47.54326,-122.33134,100.0,0.7227059828014898,11.930024613749138
54880,54880,1.0,1.0,1979,Distribution Center,55000.0,98108.0,GREATER DUWAMISH,47.52549,-122.33064,32.0,4.505681287487349,14.832044011902783
50785,50785,1.0,1.0,1963,Supermarket / Grocery Store,27382.0,98144.0,GREATER DUWAMISH,47.57903,-122.29982,57.0,5.280306133746185,15.822248333439278
85126,85126,3.0,1.0,1929,Small- and Mid-Sized Office,81526.0,98106.0,Delridge,47.54103,-122.33766,1.0,5.1187719527008335,17.451825093730037
95760,79920,6.0,1.0,1900,Small- and Mid-Sized Office,95760.0,98104.0,DOWNTOWN,47.5992,-122.33223,83.0,4.323470185213858,15.500541631969233
179413,179413,1.0,1.0,1946,Warehouse,178087.0,98134.0,GREATER DUWAMISH,47.56733,-122.3352,57.0,3.223664341599998,15.056647346441077
275130,162150,5.0,1.0,2003,Medical Office,177748.0,98122.0,EAST,47.6056366,-122.3214798,70.0,4.252771798816619,16.112209260103217
62600,62600,4.0,3.0,1928,Other,215197.0,98121.0,MAGNOLIA / QUEEN ANNE,47.61915,-122.35871,67.0,6.008911460711703,16.226711731509283
90266,90266,5.0,1.0,1987,Other,87552.0,98115.0,NORTH,47.6993,-122.32378,18.0,4.01060056878914,15.866029661754814
87332,80874,4.0,1.0,2004,Warehouse,87332.0,98107.0,Ballard,47.6582,-122.36434,87.0,2.740194654428777,13.96874642662222
132828,132828,4.0,1.0,1988,Warehouse,132828.0,98122.0,EAST,47.61818,-122.31728,83.0,2.1471001901536506,13.895919929177749
101830,101830,1.0,1.0,1995,Retail Store,130767.0,98133.0,NORTHWEST,47.71417,-122.34256,60.0,5.6907647775748975,16.186969168656223
114000,114000,4.0,2.0,1974,University,114000.0,98144.0,CENTRAL,47.5997,-122.30364,67.0,4.706914169871375,15.840374602371844
74178,74178,1.0,1.0,1958,Retail Store,74178.0,98108.0,GREATER DUWAMISH,47.54862,-122.32272,67.0,4.911330479685645,15.502313503992633
80360,80360,4.0,1.0,1987,Warehouse,80360.0,98125.0,NORTH,47.70799,-122.30185,96.0,2.848970892158587,13.438662334117597
119190,119190,3.0,1.0,1996,Supermarket / Grocery Store,46280.0,98122.0,EAST,47.61318,-122.32122,71.0,5.5909869805108565,16.12581904858978
113944,65434,3.0,1.0,1960,Large Office,65434.0,98105.0,NORTHEAST,47.66181,-122.31231,1.0,4.865455367582921,16.699203674412267
93079,56986,3.0,1.0,2000,Low-Rise Multifamily,91064.0,98103.0,LAKE UNION,47.64859,-122.33311,32.0,3.2809112157876537,14.507247995303029
22220,22220,2.0,1.0,1957,Worship Facility,22220.0,98115.0,NORTHEAST,47.67738,-122.28996,90.0,3.4885975719429885,13.564940325914932
44100,44100,1.0,1.0,1976,Warehouse,40000.0,98108.0,GREATER DUWAMISH,47.54137,-122.33051,1.0,2.5087859235779435,14.297268196768211
27800,27800,1.0,1.0,1965,Distribution Center,27800.0,98108.0,GREATER DUWAMISH,47.54113,-122.32633,13.0,3.234355395716587,14.017787712379995
46340,46340,1.0,1.0,2001,Warehouse,46340.0,98134.0,GREATER DUWAMISH,47.55436,-122.33631,3.0,2.9375733593804587,14.757081047098799
38460,38460,3.0,1.0,1910,Small- and Mid-Sized Office,38460.0,98122.0,CENTRAL,47.60191,-122.31438,69.0,3.6114583071453517,14.483706145526318
21022,21022,2.0,1.0,1922,Worship Facility,21022.0,98103.0,NORTHWEST,47.68576,-122.35481,54.0,3.8031005982039594,13.759201151262806
48001,48001,1.0,1.0,1967,Distribution Center,48001.0,98118.0,GREATER DUWAMISH,47.51127,-122.281,49.0,4.471181545984774,14.57802135794233
30375,30375,1.0,1.0,1981,Warehouse,30375.0,98118.0,GREATER DUWAMISH,47.51127,-122.281,73.0,1.2267122912954254,12.75381157483465
33589,33589,2.0,1.0,1914,Worship Facility,33589.0,98117.0,BALLARD,47.68164,-122.3753,90.0,3.132446096869813,13.141846713536431
43500,43500,3.0,1.0,1979,Small- and Mid-Sized Office,43495.0,98107.0,BALLARD,47.66587,-122.38476,46.0,3.1633631149379418,14.985089491169335
28492,28492,2.0,1.0,1978,Small- and Mid-Sized Office,28492.0,98107.0,BALLARD,47.67528,-122.40836,12.0,3.6579046498145056,14.455415111210657
44588,22588,2.0,1.0,1946,Laboratory,69000.0,98101.0,DOWNTOWN,47.61597,-122.33086,67.0,3.942552210462969,15.796731313130687
147545,147545,2.0,1.0,1917,Retail Store,147545.0,98144.0,DOWNTOWN,47.59692,-122.31543,69.0,5.140200498450899,15.730530036806956
28072,28072,2.0,1.0,1917,Other,23835.0,98013.0,NORTHWEST,47.67713,-122.35398,67.0,4.166355098198372,14.124849420043299
